feature,mean,std
0,65.523537,22.006594
1,54.923950,13.357207
2,15.268870,12.765358
3,17.358131,11.701230
4,0.113189,11.881724
5,0.965682,8.927272
6,-8.741007,6.342754
7,-3.286882,6.166607
8,-0.186431,4.726189
9,-0.968671,4.467009
10,-2.376696,4.390666
11,-3.658788,3.796217
12,-3.320172,3.537673
13,0.359205,0.090979
14,0.018742,0.011462
15,1404.452637,667.116577
16,2338.619873,2137.288574
17,9.470613,4.421632
18,2.554693,1.301402
19,2.695756,1.133861
20,2.326364,0.767362
21,2.118539,0.716622
22,1.897660,0.648804
23,1.907708,0.689338
24,1.720135,0.548985
25,1.558287,0.518500
26,1.508281,0.478154
27,1.404720,0.445805
28,1.334656,0.409894
29,1.266544,0.423364
30,0.048068,0.023073
31,0.003317,0.003388
32,117.754143,103.084839
33,300.610748,403.935944
