feature,mean,std
0,65.549095,21.961842
1,54.934727,13.358557
2,15.272581,12.770852
3,17.358707,11.701206
4,0.112373,11.882319
5,0.964345,8.927663
6,-8.743345,6.341507
7,-3.287770,6.166008
8,-0.187513,4.726882
9,-0.969878,4.467089
10,-2.377761,4.390340
11,-3.659061,3.796358
12,-3.320431,3.537552
13,0.359290,0.090921
14,0.018733,0.011462
15,1403.584351,667.235535
16,2336.173096,2137.837891
17,9.447515,4.276201
18,2.540972,1.190284
19,2.691273,1.125561
20,2.325708,0.765722
21,2.118562,0.716889
22,1.896142,0.646606
23,1.905523,0.682901
24,1.719168,0.547288
25,1.557447,0.516607
26,1.507213,0.475999
27,1.403796,0.444320
28,1.334352,0.409779
29,1.266392,0.423282
30,0.048006,0.022820
31,0.003301,0.003355
32,116.232788,92.026657
33,296.626312,382.716003
